cores,lat99,rps50
8,7,3204,2500
16,8,6408,2508
24,21,9488,2540
32,2308,9104,4840
40,2332,9424,4840
48,2348,9872,5752
56,3836,10032,7192
64,4616,10064,8944
72,4680,10096,10384
80,5976,10128,13392
88,6904,10128,14704
96,7000,10160,15408
