cores,wake99,rps50,lat99
4,2,1170,2652
8,2,3060,2652
16,2,5464,2644
24,3,8848,2676
32,49,9456,5000
40,50,9712,4824
48,51,9872,5224
56,98,9936,7208
64,99,9872,7272
72,101,9904,7432
80,151,9904,9616
88,150,9968,9584
96,151,9904,9680
112,201,9904,12048
128,250,9904,14416
144,252,9904,14480
160,301,9904,16864
176,351,9904,19168
192,352,9904,19296
208,401,9072,21600
224,450,9904,23968
240,452,9872,24032
256,502,9872,26400
