cores,wake99,rps50,lat99
4,1,1626,2548
8,2,3100,4012
16,2,6552,2548
24,16,9424,2548
32,969,9808,4472
40,993,9872,6808
48,995,9968,7304
64,1922,10320,7640
72,1942,10320,7608
80,2428,10320,9872
96,2796,10320,10448
112,3172,10288,17632
128,3764,10160,19872
144,4004,10160,22304
160,4680,10320,18656
176,5048,10064,26656
192,5592,10256,26144
208,6088,10320,25184
224,6552,10160,30112
