cores,wake99,rps50,lat99
4,20,1602,2524
8,8,3204,2516
16,8,6408,2508
24,17,9584,2532
32,2340,9936,4792
40,2348,10032,4840
48,2372,10096,6520
56,4680,10160,7144
64,4680,10160,7304
72,4696,10160,7848
80,7016,10192,9520
88,7032,10192,10160
96,7048,10192,11632
112,9360,10224,12048
128,11696,10224,14160
144,11760,10192,16272
160,14032,10224,16928
176,16368,10224,18848
192,16416,10224,19872
208,18784,10192,21344
224,21024,10224,23456
240,23328,10224,25568
256,25568,10256,26912
