cores,wake99,rps50,lat99
4,2,1510,2668
8,2,0,2644
16,3,0,2644
24,4,0,2676
32,34,0,4808
40,34,0,4856
48,35,0,5000
56,79,0,9776
64,81,0,9776
72,83,0,9872
80,116,0,12240
88,120,0,20448
96,121,0,12336
