cores,wake99,rps50,lat99
4,2,1518,2644
8,2,3076,2644
16,2,6248,2644
24,16,9008,2660
32,197,9328,4792
40,198,9616,4808
48,200,9936,4856
64,384,9936,7240
72,392,9936,7288
80,508,9936,9648
96,583,9936,9712
112,703,9936,12080
128,859,9616,23712
144,973,9904,14576
160,1122,9904,16928
176,1270,9936,19232
192,1338,9936,19424
208,1398,9936,21728
224,1590,9840,34496
240,1590,9936,24224
256,1770,9936,26592
