cores,wake99,rps50,lat99
4,10,1630,2460
8,9,3252,2476
16,10,6504,2452
24,16,9744,2460
32,1090,9616,4296
40,2052,9616,5944
48,3036,9648,7800
56,4632,9616,9584
64,6680,9552,11984
72,8336,9584,14288
80,9552,9584,15728
88,11280,9584,16736
96,12624,9616,19040
112,14960,9616,21280
128,18016,9648,23648
144,19680,9648,27744
160,22496,9680,28256
176,24032,9680,30560
192,26592,9648,35264
208,29472,9680,37696
224,32096,9680,42432
240,34496,9712,54592
256,35392,9680,56128
