cores,wake99,rps50,lat99
4,2,1654,2420
8,1,3276,2540
16,2,6616,2420
24,16,9808,2500
32,2260,9808,2540
40,2316,9808,3996
48,2324,10096,4744
64,2324,10288,4776
72,4632,10160,7800
80,4632,10192,7064
96,6936,10256,9360
112,6952,10256,9392
128,9200,10256,11728
144,6904,10288,13936
160,4728,10288,14032
176,4728,10288,16304
192,4600,10288,18528
208,4728,10320,18656
224,7320,10320,20896
240,18528,10320,20896
256,18528,10320,23328
