cores,lat99,rps50
4,8,1626,2476
8,8,3260,2452
16,9,6504,2452
24,17,9712,2476
32,1102,9648,4312
40,2046,9616,5944
48,3108,9616,8040
64,6696,9584,12048
72,8368,9584,14320
80,9680,9584,16208
96,12816,9616,19040
112,15312,9648,21280
128,18272,9648,23712
144,21152,9648,27104
160,23200,9648,28768
176,25248,9648,32832
192,27616,9680,33472
208,30176,9680,40000
224,33216,9680,44608
240,37568,9712,54464
256,37568,9712,54720
